
Symbol                          DefinedIn                                  UsageCount UsedIn                                                                                                                                                                                                                                                                                                                                                                                                                        
PROMPT_EKSTRAKSI_KK             lib\extraction\prompts\kk-prompt.ts                 1 lib\extraction\kk-extraction.ts                                                                                                                                                                                                                                                                                                                                                                                               
formatTeksResmi                 lib\formatting\text-formatter.ts                    1 lib\sheets\sheet-mapper.ts                                                                                                                                                                                                                                                                                                                                                                                                    
formatTeksTampilan              lib\formatting\text-formatter.ts                    3 components\dashboard\akta-panel.tsx; components\dashboard\kk-members.tsx; components\dashboard\kk-summary.tsx                                                                                                                                                                                                                                                                                                                 
clearExtractionHistory          lib\history\extraction-history.ts                   1 hooks\use-extraction-history.ts                                                                                                                                                                                                                                                                                                                                                                                               
getExtractionHistory            lib\history\extraction-history.ts                   1 hooks\use-extraction-history.ts                                                                                                                                                                                                                                                                                                                                                                                               
removeExtractionHistory         lib\history\extraction-history.ts                   1 hooks\use-extraction-history.ts                                                                                                                                                                                                                                                                                                                                                                                               
saveExtractionHistory           lib\history\extraction-history.ts                   0                                                                                                                                                                                                                                                                                                                                                                                                                               
upsertExtractionHistory         lib\history\extraction-history.ts                   1 hooks\use-extraction-history.ts                                                                                                                                                                                                                                                                                                                                                                                               
mapDataToRow                    lib\sheets\sheet-mapper.ts                          1 app\api\students\[rowIndex]\route.ts                                                                                                                                                                                                                                                                                                                                                                                          
createFileStudentMatch          lib\students\file-student-matcher.ts                1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
createUnmatchedFileStudentMatch lib\students\file-student-matcher.ts                0                                                                                                                                                                                                                                                                                                                                                                                                                               
FileResolutionState             lib\students\file-student-matcher.ts                0                                                                                                                                                                                                                                                                                                                                                                                                                               
FileStudentMatch                lib\students\file-student-matcher.ts                2 app\page.tsx; components\upload-section.tsx                                                                                                                                                                                                                                                                                                                                                                                   
FileStudentMatchSource          lib\students\file-student-matcher.ts                0                                                                                                                                                                                                                                                                                                                                                                                                                               
LocalFileStudentMatchResult     lib\students\file-student-matcher.ts                0                                                                                                                                                                                                                                                                                                                                                                                                                               
ManualCandidateTask             lib\students\file-student-matcher.ts                0                                                                                                                                                                                                                                                                                                                                                                                                                               
matchFileStudentLocally         lib\students\file-student-matcher.ts                1 app\page.tsx                                                                                                                                                                                                                                                                                                                                                                                                                  
PendingAiCandidateTask          lib\students\file-student-matcher.ts                0                                                                                                                                                                                                                                                                                                                                                                                                                               
